Transaction ID,First Name,Middle Initial,Last Name,Transaction Date,Owner,Ticker,Asset Name,Company,Description,Rate/Coupon,Maturity Date,Asset Type,Transaction Type,Amount Range,Amount Min,Amount Max,Comment
f8504cb9-6f4e-4efd-8e34-8167634eee0c,Daniel,S,Sullivan,2022-11-30,Joint,BAX,Baxter International Inc. Common Stock,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
a25e8226-3122-400b-a39e-676b43df4d4a,Daniel,S,Sullivan,2022-11-30,Joint,GOOG,Alphabet Inc. - Class C Capital Stock,,,,,Stock,Sale (Partial),"$1,001 - $15,000",1001,15000,--
91d0f399-7af7-437b-a173-f627e3d67542,Daniel,S,Sullivan,2022-11-30,Joint,ADBE,Adobe Inc. - Common Stock,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
f4f5616f-8ed1-4f7a-9387-0a7688d4e932,Daniel,S,Sullivan,2022-11-30,Joint,RPM,RPM International Inc. Common Stock,,,,,Stock,Sale (Partial),"$15,001 - $50,000",15001,50000,Third Party investment professional manages portfolio and oversees long-term diversification strategy that regularly includes similar transactions.
b776478e-8539-4d50-ae55-33e8a6a820dd,Daniel,S,Sullivan,2022-11-22,Child,DIS,Walt Disney Company (The) Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
6688321d-5ce6-4b81-a19b-36a22ddbeeaa,Daniel,S,Sullivan,2022-11-22,Child,NVDA,NVIDIA Corporation - Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
20f5c8c5-81fc-4fd8-af69-f556dd1bf7e8,Daniel,S,Sullivan,2022-11-22,Child,MSFT,Microsoft Corporation - Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
d77610fe-fe89-4345-aa48-1f3491523613,Daniel,S,Sullivan,2022-11-22,Child,META,"Meta Platforms, Inc. - Class A Common Stock",,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
e81ae1d8-d75a-40d6-9c54-c35ba36a9267,Daniel,S,Sullivan,2022-11-22,Child,AAPL,Apple Inc. - Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
c46111bd-c5cd-4401-a60e-39fdd023a60b,Daniel,S,Sullivan,2022-11-22,Child,AMZN,"Amazon.com, Inc. - Common Stock",,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
928c91c6-a380-4480-bb87-5006e7a993d0,Daniel,S,Sullivan,2022-11-22,Child,GOOG,Alphabet Inc. - Class C Capital Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
0c7d5efb-7026-4a62-93f4-456ec6c5d0da,Daniel,S,Sullivan,2022-11-22,Child,ADBE,Adobe Inc. - Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
f49652c4-e571-4845-9488-f171b3bf8f91,Daniel,S,Sullivan,2022-11-30,Joint,ZTS,Zoetis Inc. Class A Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
28ba17c8-6fbc-4eec-bcaa-9cbfd01cb2a1,Daniel,S,Sullivan,2022-11-30,Joint,TJX,"TJX Companies, Inc. (The) Common Stock",,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
84484600-cecb-4a6e-a2f9-d39555541870,Daniel,S,Sullivan,2022-11-30,Joint,TMO,Thermo Fisher Scientific Inc Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
e86df504-ca81-424c-848e-9e6d991fabb7,Daniel,S,Sullivan,2022-11-30,Joint,MSFT,Microsoft Corporation - Common Stock,,,,,Stock,Purchase,"$15,001 - $50,000",15001,50000,--
38fe3d19-49a0-4b30-87ee-10f968e7df6e,Daniel,S,Sullivan,2022-11-30,Joint,LRCX,Lam Research Corporation - Common Stock,,,,,Stock,Purchase,"$1,001 - $15,000",1001,15000,--
5ec39bed-8aa2-4831-b004-74650e4e5cb6,Daniel,S,Sullivan,2018-10-25,Joint,RPM,RPM International Inc.,,,,,Stock,Sale (Partial),"$50,001 - $100,000",50001,100000,--
31adeb5f-9934-4a1c-9d2c-15ea81e34549,Daniel,S,Sullivan,2018-10-02,Joint,IWF,iShares Russell 1000 Growth ETF,,,,,Other Securities,Sale (Partial),"$1,001 - $15,000",1001,15000,--
737b5d0b-298b-46ea-809f-7f98bab89c73,Daniel,S,Sullivan,2024-01-24,Joint,RPM,RPM International Inc. Common Stock,,,,,Stock,Sale (Partial),"$15,001 - $50,000",15001,50000,Third Party investment professional manages portfolio and oversees long-term diversification strategy that regularly includes similar transactions.
5a680d2a-4d36-4da5-a920-a8a7749bd0a3,Daniel,S,Sullivan,2020-05-18,Joint,RPM,RPM International Inc.,,,,,Stock,Sale (Partial),"$50,001 - $100,000",50001,100000,"The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on June 2, 2020. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactions."
443d6dd6-3d08-418c-8829-337b1de527f8,Daniel,S,Sullivan,2015-09-15,Joint,,Alaska State General Obligation Bond,,,,,Other Securities,Sale (Full),"$250,001 - $500,000",250001,500000,--
ee27531a-0878-4b6b-a761-e5a6406b5af5,Daniel,S,Sullivan,2015-08-17,Joint,SPY,SPDR S&P 500 ETF,,,,,Other Securities,Sale (Full),"$50,001 - $100,000",50001,100000,--
9e885175-f6fb-4e7d-95eb-ffcc59b78e22,Daniel,S,Sullivan,2015-07-15,Joint,AFTEX,American Funds Tax-Exempt Bond A,,,,,Other Securities,Sale (Partial),"$1,001 - $15,000",1001,15000,--
caf90716-8a11-42b1-ab54-fd75eca6fe41,Daniel,S,Sullivan,2015-05-28,Joint,SPY,SPDR S&P 500 ETF,,,,,Other Securities,Sale (Partial),"$15,001 - $50,000",15001,50000,--
b51393cd-a921-45d7-83c0-ea8eb1123dbe,Daniel,S,Sullivan,2015-03-27,Joint,XLI,Industrial Select Sector SPDR ETF,,,,,Other Securities,Sale (Full),"$15,001 - $50,000",15001,50000,--
6cbc938e-4a54-4baf-8816-8cdcb1119466,Daniel,S,Sullivan,2015-01-28,Joint,SPY,SPDR S&P 500 ETF,,,,,Other Securities,Sale (Partial),"$1,001 - $15,000",1001,15000,--
235e5864-812e-4d8b-be48-b3028d738367,Daniel,S,Sullivan,2015-01-28,Joint,IWD,iShares Russell 1000 Value,,,,,Other Securities,Sale (Partial),"$1,001 - $15,000",1001,15000,--
f9ddb858-c7b8-4c93-8e76-812fcaf6802a,Daniel,S,Sullivan,2015-01-28,Joint,XLI,Industrial Select Sector SPDR ETF,,,,,Other Securities,Sale (Partial),"$1,001 - $15,000",1001,15000,--
508cfe3c-3e59-4253-87b2-95a0d9cb219b,Daniel,S,Sullivan,2023-08-22,Joint,ZTS,Zoetis Inc Cl A,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,Sale part of investment strategy of 3rd party investment professional to exchange individual stocks received after death of filer’s parents for EIFs.
4d3c0192-6ae7-4fb0-b703-14d5476a7611,Daniel,S,Sullivan,2023-08-22,Joint,ULTA,Ulta Beauty Inc,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,Sale part of investment strategy of 3rd party investment professional to exchange individual stocks received after death of filer’s parents for EIFs.
d8834853-a8f7-4e5b-b535-e2832b25c3e5,Daniel,S,Sullivan,2023-08-22,Joint,TSCO,Tractor Supply Company,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,Sale part of investment strategy of 3rd party investment professional to exchange individual stocks received after death of filer’s parents for EIFs.
